fn,target_name,length,model,status,error,tabular_representation,tabular_numeric_transform,train_size,val_size,test_size,seed,duration_ms,adaptation_duration_ms,test_duration_ms,total_wall_clock_duration_ms,val_acc,val_acc_std,test_acc,test_acc_std,best_params,best_cv_score,num_trials,selection_split,mean_fit_count
fn_p,htru2,8,decision_tree,ok,,named_numeric,positive_affine,256,256,2000,42,301,299,0,301,0.93359375,0.0,0.9200000000000002,1.1102230246251565e-16,"{""max_depth"": 3, ""min_samples_leaf"": 20, ""criterion"": ""gini""}",0.93359375,5,val,30.0
fn_p,htru2,8,random_forest,ok,,named_numeric,positive_affine,256,256,2000,42,21697,21442,251,21697,0.95,0.0015625,0.9252,0.0017776388834631366,"{""n_estimators"": 128, ""max_depth"": 8, ""min_samples_leaf"": 1}",0.95,5,val,12.0
fn_p,htru2,8,extra_trees,ok,,named_numeric,positive_affine,256,256,2000,42,17336,17018,313,17336,0.94921875,0.0024705294220065464,0.9183,0.0029257477676655607,"{""n_estimators"": 256, ""max_depth"": 16, ""min_samples_leaf"": 1}",0.94921875,5,val,12.0
fn_p,htru2,8,adaboost,ok,,named_numeric,positive_affine,256,256,2000,42,12346,12240,104,12346,0.9453125,0.0,0.9280000000000002,1.1102230246251565e-16,"{""n_estimators"": 100, ""learning_rate"": 0.5}",0.9453125,5,val,12.0
fn_p,htru2,8,gradient_boosting,ok,,named_numeric,positive_affine,256,256,2000,42,7467,7452,14,7467,0.96484375,0.0,0.932,0.0,"{""n_estimators"": 200, ""learning_rate"": 0.03, ""max_depth"": 2}",0.96484375,5,val,8.0
fn_p,htru2,8,hist_gradient_boosting,ok,,named_numeric,positive_affine,256,256,2000,42,15804,15696,105,15804,0.93359375,0.0,0.9164999999999999,1.1102230246251565e-16,"{""max_iter"": 200, ""learning_rate"": 0.1, ""max_leaf_nodes"": 15}",0.93359375,5,val,8.0
fn_p,htru2,8,logistic_regression,ok,,named_numeric,positive_affine,256,256,2000,42,134,130,1,134,0.94921875,0.0,0.9269999999999999,1.1102230246251565e-16,"{""C"": 10.0}",0.94921875,5,val,3.0
fn_p,htru2,8,mlp,ok,,named_numeric,positive_affine,256,256,2000,42,1265,1255,8,1265,0.91328125,0.0213096589015404,0.8765000000000001,0.02158934922594934,"{""hidden_layer_sizes"": [128], ""alpha"": 0.0001}",0.91328125,5,val,6.0
fn_p,htru2,8,xgboost,ok,,named_numeric,positive_affine,256,256,2000,42,8226,8209,14,8226,0.95546875,0.003125,0.9304,0.0011135528725660013,"{""n_estimators"": 100, ""max_depth"": 3, ""learning_rate"": 0.05, ""subsample"": 0.8, ""colsample_bytree"": 1.0}",0.95546875,5,val,32.0
