model,mode,seed,fn,train_acc,val_acc,test_acc,val_acc_std,test_acc_std
qwen3-coder-30b-a3b,normal,123,fn_o,,0.53,0.5374,0.0,0.0
qwen3-coder-30b-a3b,normal,123,fn_n,,0.61,0.5994,0.0,0.0
qwen3-coder-30b-a3b,normal,2201,fn_o,,0.5,0.5,0.0,0.0
qwen3-coder-30b-a3b,normal,2201,fn_n,,0.51,0.5269,0.0,0.0
qwen3-coder-30b-a3b,normal,42,fn_o,,0.41,0.6181,0.0,0.0
qwen3-coder-30b-a3b,normal,42,fn_n,,0.62,0.5517,0.0,0.0
qwen3-coder-30b-a3b,normal,456,fn_o,,0.6,0.6372,0.0,0.0
qwen3-coder-30b-a3b,normal,456,fn_n,,0.55,0.5724,0.0,0.0
qwen3-coder-30b-a3b,normal,789,fn_o,,0.73,0.5529,0.0,0.0
qwen3-coder-30b-a3b,normal,789,fn_n,,0.42,0.5703,0.0,0.0
qwen3-coder-30b-a3b,batched,123,fn_o,0.54,0.52,0.5174,0.0,0.0
qwen3-coder-30b-a3b,batched,123,fn_n,0.6,0.54,0.4626,0.0,0.0
qwen3-coder-30b-a3b,batched,2201,fn_o,0.51,0.5,0.5,0.0,0.0
qwen3-coder-30b-a3b,batched,2201,fn_n,0.62,0.51,0.4939,0.0,0.0
qwen3-coder-30b-a3b,batched,42,fn_o,0.53,0.53,0.506,0.0,0.0
qwen3-coder-30b-a3b,batched,42,fn_n,0.6,0.54,0.5207,0.0,0.0
qwen3-coder-30b-a3b,batched,456,fn_n,0.65,0.62,0.5333,0.0,0.0
qwen3-coder-30b-a3b,batched,789,fn_o,0.51,0.5,0.5,0.0,0.0
qwen3-coder-30b-a3b,batched,789,fn_n,0.53,0.51,0.5054,0.0,0.0
